title,year
Powder,1995
The City of Lost Children,1995
Twelve Monkeys,1995
Lawnmower Man 2: Beyond Cyberspace,1996
Screamers,1995
Shopping,1994
Unforgettable,1996
Congo,1995
Johnny Mnemonic,1995
Judge Dredd,1995
Mighty Morphin Power Rangers: The Movie,1995
Species,1995
Strange Days,1995
Gumby: The Movie,1995
A Kid in King Arthur's Court,1995
Star Wars,1977
Mary Shelley's Frankenstein,1994
Nemesis 2 - Nebula,1995
Outbreak,1995
Stargate,1994
Tank Girl,1995
Star Trek: Generations,1994
Village of the Damned,1995
Virtuosity,1995
Timecop,1994
The Secret Adventures of Tom Thumb,1993
Highlander: The Final Dimension,1994
Body Snatchers,1993
Coneheads,1993
Demolition Man,1993
Jurassic Park,1993
No Escape,1994
North,1994
The Puppet Masters,1994
RoboCop 3,1993
The Shadow,1994
Blade Runner,1982
The Pagemaster,1994
Terminator 2: Judgment Day,1991
Heavy Metal,1981
Hellraiser: Bloodline,1996
Theodore Rex,1995
Mystery Science Theater 3000: The Movie,1996
Barbarella,1968
They Bite,1996
Alphaville,1965
Solo,1996
The Visitors,1993
Multiplicity,1996
Barb Wire,1996
Ghost in the Shell,1995
The Arrival,1996
Jack,1996
Independence Day,1996
The Nutty Professor,1996
Phenomenon,1996
Kazaam,1996
Chain Reaction,1996
Escape from L.A.,1996
The Island of Dr. Moreau,1996
2001: A Space Odyssey,1968
Escape to Witch Mountain,1975
"20,000 Leagues Under the Sea",1954
The Lawnmower Man,1992
Sleeper,1973
E.T. the Extra-Terrestrial,1982
The Abyss,1989
Escape from New York,1981
Delicatessen,1991
The Empire Strikes Back,1980
Brazil,1985
Aliens,1986
A Clockwork Orange,1971
Return of the Jedi,1983
Alien,1979
A Grand Day Out,1990
Stalker,1979
The Terminator,1984
The Day the Earth Stood Still,1951
Bad Taste,1987
Back to the Future,1985
Akira,1988
Young Frankenstein,1974
Somewhere in Time,1980
Forbidden Planet,1956
Until the End of the World,1991
Alien³,1992
The Blob,1958
Blood Beach,1980
Bride of Frankenstein,1935
Star Trek: First Contact,1996
The Preacher's Wife,1996
Star Trek: The Motion Picture,1979
Star Trek VI: The Undiscovered Country,1991
Star Trek V: The Final Frontier,1989
Star Trek II: The Wrath of Khan,1982
Star Trek III: The Search for Spock,1984
Star Trek IV: The Voyage Home,1986
Adrenalin: Fear the Rush,1996
Mars Attacks!,1996
The Machine,1994
The Saint,1997
Turbo: A Power Rangers Movie,1997
Double Team,1997
Volcano,1997
Austin Powers: International Man of Mystery,1997
The Fifth Element,1997
Nowhere,1997
The Lost World: Jurassic Park,1997
Tetsuo II: Body Hammer,1992
Face/Off,1997
Men in Black,1997
Contact,1997
Event Horizon,1997
Spawn,1997
Steel,1997
Kull the Conqueror,1997
RocketMan,1997
Gattaca,1997
Phantoms,1998
A Life Less Ordinary,1997
Starship Troopers,1997
Mortal Kombat: Annihilation,1997
Alien: Resurrection,1997
Alien Escape,1996
Flubber,1997
Time Tracers,1997
Dark City,1998
Star Kid,1997
Deep Rising,1998
Sphere,1998
Lost in Space,1998
Species II,1998
Godzilla,1998
Hav Plenty,1997
The X Files,1998
Armageddon,1998
Small Soldiers,1998
Plan 9 from Outer Space,1959
Repo Man,1984
Halloween III: Season of the Witch,1982
Soylent Green,1973
Metropolis,1927
Back to the Future Part II,1989
Back to the Future Part III,1990
The Absent-Minded Professor,1961
Babes in Toyland,1961
Dune,1984
Disturbing Behavior,1998
The Black Hole,1979
The Cat from Outer Space,1978
Darby O'Gill and the Little People,1959
The Devil and Max Devlin,1981
Flight of the Navigator,1986
Honey I Blew Up the Kid,1992
"Honey, I Shrunk the Kids",1989
Return from Witch Mountain,1978
The Rocketeer,1991
Tron,1982
The Man with Two Brains,1983
Nineteen Eighty-Four,1984
The Dead Zone,1983
Maximum Overdrive,1986
The Nutty Professor,1963
Attack of the Killer Tomatoes!,1978
Surf Nazis Must Die,1987
Cube,1997
Toys,1992
Parasite,1982
The Butcher's Wife,1991
Six-String Samurai,1998
Them!,1954
The Thing,1982
2010,1984
Soldier,1998
The Stepford Wives,1975
Heart Condition,1990
Godzilla,1954
Godzilla 1985,1984
King Kong vs. Godzilla,1962
Lifeforce,1985
Star Trek: Insurrection,1998
Santa Claus: The Movie,1985
Cocoon,1985
Cocoon: The Return,1988
The Faculty,1998
Mighty Joe Young,1949
Virus,1999
The Garbage Pail Kids Movie,1987
Howard the Duck,1986
The Boy Who Could Fly,1986
The Fly,1958
The Fly,1986
The Fly II,1989
Deadly Friend,1986
Fantastic Planet,1973
My Favorite Martian,1999
Alligator,1980
Meteor,1979
Westworld,1973
Logan's Run,1976
Planet of the Apes,1968
Beneath the Planet of the Apes,1970
Battle for the Planet of the Apes,1973
Conquest of the Planet of the Apes,1972
Escape from the Planet of the Apes,1971
The Rage: Carrie 2,1999
Wing Commander,1999
Village of the Damned,1960
Children of the Damned,1964
Baby Geniuses,1999
The Matrix,1999
The Sticky Fingers of Time,1997
eXistenZ,1999
The Mighty Peking Man,1977
Night of the Comet,1984
Chopping Mall,1986
My Science Project,1985
Star Wars: Episode I - The Phantom Menace,1999
Superman,1978
Superman II,1980
Superman III,1983
Superman IV: The Quest for Peace,1987
House of Dracula,1945
House of Frankenstein,1944
Frankenstein,1931
Son of Frankenstein,1939
The Ghost of Frankenstein,1942
Frankenstein Meets the Wolf Man,1943
The Curse of Frankenstein,1957
Tarantula,1955
The Rocky Horror Picture Show,1975
The Flying Saucer,1950
The Thing from Another World,1951
It Came from Outer Space,1953
The War of the Worlds,1953
It Came from Beneath the Sea,1955
Invasion of the Body Snatchers,1956
Earth vs. the Flying Saucers,1956
It Conquered the World,1956
The Mole People,1956
Swamp Thing,1982
The Thirteenth Floor,1999
Austin Powers: The Spy Who Shagged Me,1999
Zone 39,1996
Wild Wild West,1999
Muppets from Space,1999
Lake Placid,1999
Deep Blue Sea,1999
Mystery Men,1999
The Kindred,1987
The Iron Giant,1999
Universal Soldier: The Return,1999
Universal Soldier,1992
With Friends Like These...,1998
The Astronaut's Wife,1999
Nightmares,1983
New Rose Hotel,1998
Monkey Shines,1988
Phantasm,1979
The Mating Habits of the Earthbound Human,1999
Total Recall,1990
Man Facing Southeast,1986
Time Bandits,1981
RoboCop,1987
RoboCop 2,1990
Last Night,1998
Bride of Re-Animator,1989
Re-Animator,1985
The Omega Man,1971
Spaceballs,1987
The Ape,1940
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984
"Goodbye, 20th Century",1998
Bicentennial Man,1999
Galaxy Quest,1999
Supernova,2000
The Boys from Brazil,1978
Poison,1991
Forever Young,1992
Conceiving Ada,1999
Pitch Black,2000
What Planet Are You From?,2000
Bride of the Monster,1955
Mission to Mars,2000
Destination Moon,1950
On the Beach,1959
Date With an Angel,1987
We're Back! A Dinosaur's Story,1993
Baby: Secret of the Lost Legend,1985
Teenage Mutant Ninja Turtles,1990
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991
Teenage Mutant Ninja Turtles III,1993
Solar Crisis,1990
Heart and Souls,1993
Close Encounters of the Third Kind,1977
Retroactive,1997
Devil Girl from Mars,1954
The Hideous Sun Demon,1958
Solaris,1972
Frequency,2000
Predator,1987
The Crow: Salvation,2000
The Flintstones in Viva Rock Vegas,2000
Carnosaur,1993
Carnosaur 2,1995
Carnosaur 3: Primal Species,1996
The Hidden,1987
Time Masters,1982
Battlefield Earth,2000
Lisa and the Devil,1973
Moonraker,1979
Quatermass and the Pit,1967
Quatermass II,1957
Eraserhead,1977
Flatliners,1990
Gandahar,1987
Class of Nuke 'Em High,1986
